Area Codes,Area Names,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01008134,Sheffield 005B,"1,248",6,12,10,8,4,14,10,10,12,8,6,6,14,6,11,7,10,11,12,6,10,10,12,8,10,20,14,24,7,14,9,14,11,6,12,16,13,16,11,9,9,9,9,8,9,16,17,17,20,18,27,23,14,22,26,24,30,16,20,15,13,18,14,17,21,30,22,13,19,22,36,11,18,17,17,15,9,17,11,13,14,12,11,13,10,8,5,8,9,7,20
E01008135,Sheffield 005C,"1,683",15,17,16,14,15,19,17,12,17,11,19,12,13,12,15,12,17,11,13,24,19,17,14,20,19,27,35,32,24,22,14,15,16,20,16,19,23,23,18,30,20,14,20,17,22,25,30,37,23,26,32,33,25,31,17,31,22,31,24,17,20,20,31,17,19,19,21,18,19,28,22,21,24,17,13,10,11,13,12,12,13,12,9,11,7,12,7,1,8,3,12
E01008137,Sheffield 005D,"1,426",4,9,8,10,6,13,13,15,11,12,11,11,16,20,9,7,7,12,12,15,14,7,15,11,8,19,17,13,8,18,14,12,14,8,8,16,15,15,12,10,18,10,15,13,21,21,14,18,19,19,29,22,24,20,23,26,15,25,12,28,26,30,8,18,22,18,19,25,21,27,27,19,33,35,27,11,15,19,13,21,17,20,16,15,8,16,7,7,3,0,16
E01008141,Sheffield 005E,"1,579",10,15,11,14,14,11,14,9,12,19,21,20,20,14,8,15,18,11,17,9,15,12,12,15,15,17,13,16,17,12,14,16,16,14,14,18,15,17,13,15,20,25,25,24,22,24,24,13,23,17,24,23,30,25,33,21,21,25,20,12,21,20,29,22,24,27,27,24,18,25,23,20,27,21,22,21,17,17,14,18,12,17,11,16,7,8,12,11,4,7,8
E01008053,Sheffield 006A,"1,326",15,10,13,10,23,12,15,7,17,17,10,22,23,23,8,23,15,22,13,14,14,15,8,11,12,29,16,15,20,21,9,11,15,17,17,11,17,12,14,16,12,12,19,20,21,23,24,18,24,25,19,13,12,16,19,18,19,13,19,22,16,14,5,12,15,19,16,21,16,13,13,9,12,17,12,16,11,9,11,18,17,9,5,7,5,9,4,2,2,5,6
E01008056,Sheffield 006B,"1,514",14,19,19,18,18,14,18,18,21,20,22,24,23,17,23,16,24,26,19,22,18,12,12,11,20,28,23,20,18,21,25,19,16,25,15,17,17,25,22,12,22,16,17,24,8,20,28,25,24,25,16,16,24,29,25,17,21,21,15,15,18,14,12,11,9,18,12,21,11,22,21,17,10,10,12,10,8,9,9,7,4,6,11,9,3,9,3,3,4,4,18
E01008058,Sheffield 006C,"1,552",13,13,8,15,12,12,14,24,17,20,12,9,18,20,17,18,16,18,10,11,10,16,15,19,17,28,23,19,15,11,19,18,19,28,12,15,16,12,18,16,18,15,11,18,20,23,24,31,33,20,28,19,24,28,15,36,26,33,22,24,23,20,14,17,17,14,14,13,27,16,27,30,8,10,18,19,21,10,13,15,12,10,8,6,9,7,10,7,8,7,11
E01008138,Sheffield 006D,"1,310",5,12,4,10,12,13,15,21,17,12,11,13,10,16,19,14,11,19,18,12,12,14,7,10,10,19,15,9,8,12,17,11,10,20,14,15,16,13,13,12,12,14,10,19,19,10,16,17,23,12,17,27,14,22,18,26,24,15,29,14,9,23,18,14,16,16,14,17,24,21,19,12,16,12,14,13,20,14,12,16,10,12,18,4,14,5,6,5,5,5,27
E01008139,Sheffield 006E,"1,572",15,9,24,11,18,11,13,16,10,23,18,19,19,21,18,14,17,18,13,11,16,15,18,22,14,23,24,33,31,27,8,19,18,23,19,20,15,12,21,14,20,16,19,13,20,31,26,28,22,23,20,20,25,22,17,18,26,23,19,17,13,9,15,13,16,13,12,18,16,19,27,21,15,24,26,16,13,21,17,19,12,10,9,13,10,7,6,8,6,3,10
E01007856,Sheffield 007A,"1,244",17,13,18,19,26,28,27,20,21,24,18,17,22,19,12,16,11,10,13,11,17,16,13,10,20,19,24,19,16,24,26,28,22,11,16,22,12,18,14,10,12,15,11,11,17,22,12,19,15,21,15,17,23,15,13,14,18,16,15,17,11,15,11,10,8,9,13,10,10,6,7,4,8,5,10,4,8,8,8,2,2,10,1,8,5,2,1,3,2,1,5
