Area Codes,Area Names,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01008135,Sheffield 005C,828,11,14,6,8,8,6,5,6,9,6,10,8,5,6,8,7,4,3,11,13,10,10,9,6,11,11,22,15,14,14,9,11,10,9,8,8,10,13,9,17,12,4,12,8,11,10,15,14,10,13,15,16,13,15,8,15,14,19,13,8,10,13,18,4,6,9,8,9,13,15,9,12,10,4,7,4,4,9,3,9,7,4,3,4,1,1,1,0,2,2,2
E01008137,Sheffield 005D,689,2,5,5,7,4,9,6,8,6,7,5,2,12,9,2,4,3,4,6,4,6,2,8,8,4,9,12,8,6,9,5,6,8,2,5,6,7,9,8,4,11,6,8,5,10,8,6,8,12,8,11,12,13,8,14,13,10,5,5,13,14,13,6,6,10,9,12,16,7,14,15,4,13,11,15,5,8,12,6,9,10,8,8,6,3,8,3,3,3,0,4
E01008141,Sheffield 005E,773,5,6,11,8,11,3,7,3,6,7,16,6,8,7,3,7,10,5,9,6,11,10,4,6,6,10,8,8,10,6,6,11,6,9,7,5,6,10,6,4,11,11,16,9,8,13,10,6,10,10,11,11,21,8,20,7,8,12,9,5,12,7,16,11,14,12,7,10,10,12,13,9,18,11,11,8,4,9,3,11,8,10,8,8,2,1,4,4,2,2,7
E01008053,Sheffield 006A,664,11,4,8,6,10,7,9,4,10,3,2,14,12,13,6,13,8,11,6,10,9,12,5,7,6,10,9,9,14,8,2,4,9,8,5,4,9,5,5,8,7,4,11,11,13,14,7,7,14,17,8,6,6,9,8,10,8,7,7,11,9,9,2,6,8,9,7,13,8,10,9,3,6,8,4,3,4,3,5,3,10,4,3,4,4,3,1,1,0,4,1
E01008056,Sheffield 006B,722,7,10,10,12,7,7,11,9,12,11,13,13,8,7,12,9,11,12,7,12,9,6,7,5,7,15,11,9,7,10,6,10,11,11,5,4,5,8,7,7,10,9,9,15,4,9,10,12,14,9,8,9,9,16,13,9,11,11,10,6,9,7,6,3,1,9,4,9,7,12,6,9,6,6,7,5,5,2,6,5,1,2,7,6,0,5,1,1,0,1,11
E01008058,Sheffield 006C,740,6,7,4,9,8,6,5,10,9,10,8,6,8,10,10,6,9,12,5,3,5,9,6,9,7,13,10,8,5,5,13,12,9,14,6,7,7,5,4,6,6,7,7,6,9,14,13,12,15,10,18,11,12,14,11,17,17,17,13,15,9,14,6,7,8,4,7,3,11,6,8,16,3,6,8,6,7,6,4,7,4,5,5,0,5,2,4,4,2,5,3
E01008138,Sheffield 006D,640,4,8,3,5,10,6,9,10,12,10,7,6,7,8,7,11,3,9,8,7,6,11,4,5,5,9,6,3,3,6,7,4,4,11,6,11,9,4,9,9,7,2,7,7,13,7,9,8,13,4,7,13,6,11,11,9,13,7,19,4,4,10,8,7,7,5,8,9,15,11,9,7,5,5,5,4,5,6,6,9,3,3,5,2,6,0,3,2,1,1,10
E01008139,Sheffield 006E,759,11,5,17,7,9,3,7,8,6,15,12,10,9,7,9,6,6,7,6,8,6,7,5,6,10,12,14,22,15,15,4,7,5,7,9,6,7,8,10,5,9,9,7,5,12,13,15,13,11,11,13,7,10,10,9,11,12,9,10,9,8,3,7,8,10,6,6,8,8,11,8,7,9,8,13,8,5,11,8,6,9,5,3,6,3,5,5,4,4,0,4
E01007856,Sheffield 007A,571,8,12,9,8,12,12,13,8,10,12,11,8,16,9,7,6,5,5,6,4,7,11,6,5,13,6,11,6,5,7,8,15,6,6,7,8,6,7,7,7,7,6,7,1,11,8,5,9,5,9,7,7,11,8,8,7,10,6,4,12,5,7,5,4,3,4,7,7,5,2,4,3,4,2,4,4,3,2,3,1,1,2,0,1,1,0,0,2,1,0,1
E01008054,Sheffield 007B,640,10,7,12,16,16,12,12,11,16,18,16,11,6,8,11,6,10,11,9,8,13,8,9,5,10,13,11,12,13,9,12,8,7,4,9,5,4,11,5,7,5,4,6,8,7,10,7,7,12,11,12,6,4,7,9,9,5,12,7,10,6,3,6,4,3,3,5,3,2,4,3,2,3,3,5,3,1,6,1,1,0,2,0,0,1,3,3,0,3,0,2
E01008055,Sheffield 007C,753,8,15,16,17,12,15,18,14,19,8,19,23,18,13,15,11,11,3,7,5,5,9,7,10,13,10,17,11,9,11,14,9,7,17,9,10,8,12,8,5,7,7,6,7,5,8,11,7,4,9,9,9,9,12,10,9,8,8,9,10,4,3,3,12,4,10,5,8,5,7,3,4,2,4,2,6,1,4,3,4,3,7,4,3,2,2,3,0,0,1,2
E01008057,Sheffield 007D,724,12,15,14,8,19,17,9,12,11,9,16,15,15,7,15,11,9,9,9,8,9,11,12,9,6,17,9,8,8,5,10,11,11,12,4,10,15,12,7,8,8,12,13,10,8,13,11,10,13,16,5,10,7,13,11,5,13,12,3,6,7,6,5,5,6,4,4,4,4,5,4,4,4,6,4,1,2,2,3,2,2,2,0,0,0,1,0,3,0,0,1
E01008126,Sheffield 008A,727,5,4,7,7,7,5,8,6,9,8,5,8,7,9,4,10,7,12,6,7,9,6,6,10,8,3,5,2,4,2,8,7,8,10,4,5,8,2,7,6,4,9,4,9,10,10,16,15,17,16,13,14,10,15,8,6,11,12,14,14,10,10,10,9,10,8,7,11,6,12,14,15,17,16,14,7,5,11,8,7,6,4,3,3,2,4,2,1,0,2,5
E01008128,Sheffield 008C,900,8,8,12,13,10,21,6,10,11,11,6,8,7,7,7,13,4,8,10,7,8,8,6,4,6,19,12,3,8,10,6,10,6,11,4,16,13,11,14,14,15,12,14,10,15,13,14,16,14,18,22,14,21,9,15,11,13,17,12,14,10,13,14,11,11,10,13,11,9,16,19,9,6,11,8,8,6,9,5,6,4,5,7,4,4,1,0,2,2,1,0
E01008136,Sheffield 008D,701,8,5,10,14,10,8,8,5,7,15,6,5,12,13,9,7,7,7,11,6,7,7,7,13,7,4,7,3,3,3,11,8,8,7,7,6,7,14,11,6,7,8,8,9,9,12,12,15,9,11,11,5,7,10,14,7,9,9,9,19,12,6,8,6,4,8,15,10,8,12,11,4,7,7,7,6,7,4,8,4,6,6,2,0,4,7,1,0,1,0,1
E01008140,Sheffield 008E,949,7,8,12,15,11,14,12,16,22,14,16,15,12,11,7,11,7,9,7,7,10,13,4,8,8,15,10,8,6,6,8,10,13,14,12,20,12,11,17,16,10,9,20,26,19,14,16,14,15,10,14,9,17,14,13,8,10,5,20,9,16,10,9,6,9,7,10,5,7,11,14,8,6,7,8,10,9,4,7,10,5,6,7,4,3,4,9,5,2,4,1
E01033275,Sheffield 008F,878,11,8,13,12,7,10,18,10,16,13,13,19,18,10,10,14,11,12,7,7,15,4,4,11,14,20,11,18,12,11,8,13,13,9,8,4,15,14,14,7,8,11,17,14,12,18,23,23,21,13,13,18,12,9,10,16,9,14,11,11,15,8,3,13,12,6,6,11,3,5,13,6,2,5,4,3,1,4,2,2,1,0,0,0,0,4,1,0,1,0,0
E01033280,Sheffield 008G,813,6,7,5,8,10,11,9,11,11,10,13,12,12,8,12,14,11,6,8,10,6,9,8,9,6,7,13,4,10,10,4,10,4,8,12,11,8,8,14,13,12,6,24,7,10,14,16,9,18,18,10,9,20,13,19,13,13,12,12,10,14,10,13,8,9,9,10,7,14,11,4,6,8,4,4,6,7,3,3,6,4,3,2,1,1,3,3,2,2,2,1
E01008085,Sheffield 009A,686,3,9,9,10,10,9,7,8,9,11,12,14,9,4,7,10,9,10,7,7,13,9,9,11,9,11,13,8,15,12,4,9,7,4,6,8,11,8,10,10,12,2,7,8,7,10,10,13,11,8,10,9,7,9,8,14,12,11,5,5,10,9,6,6,6,4,4,9,7,7,11,6,7,7,8,5,2,8,3,5,0,0,2,2,0,1,1,1,0,2,8
E01008086,Sheffield 009B,633,9,10,11,14,9,10,12,12,12,8,7,11,9,11,10,5,7,10,3,5,6,9,4,7,11,5,3,6,5,10,5,6,10,10,13,3,10,16,7,7,6,7,4,3,3,13,8,11,13,12,11,6,11,13,10,5,9,11,6,5,7,7,10,4,8,6,3,2,2,5,8,6,7,4,2,3,3,7,4,5,3,5,3,5,0,1,1,0,0,3,4
E01008116,Sheffield 009C,631,6,8,11,14,15,9,5,9,8,9,9,8,11,8,11,15,12,10,13,9,7,10,5,8,6,15,8,7,11,8,5,7,4,10,4,6,5,3,4,4,11,8,6,6,5,6,7,12,10,4,9,4,12,8,13,10,6,6,9,8,12,7,6,8,5,7,7,3,9,5,7,7,3,4,4,0,7,8,7,1,2,2,2,2,1,0,1,2,0,2,3
E01008117,Sheffield 009D,675,8,13,5,8,3,9,13,7,5,12,12,12,17,11,6,9,11,17,5,8,12,4,6,6,8,8,10,11,10,11,6,10,13,8,5,3,10,7,8,5,10,14,6,10,11,7,6,9,7,9,8,15,9,11,6,10,8,5,5,6,10,6,8,6,9,6,5,9,6,8,5,9,6,11,6,7,5,3,1,1,2,1,3,2,2,4,0,2,4,1,3
E01008118,Sheffield 009E,692,9,12,9,11,11,4,8,17,7,17,18,20,14,12,7,5,7,5,4,3,8,5,9,6,7,11,14,13,7,8,9,9,5,5,6,7,12,8,7,11,4,3,10,5,3,7,15,13,10,8,9,10,9,8,9,5,10,10,7,10,4,4,10,10,7,8,4,4,5,4,10,8,6,6,4,8,8,5,4,11,4,5,4,4,7,1,0,3,1,0,1
E01008119,Sheffield 009F,597,11,4,14,6,10,11,16,21,8,12,14,11,11,9,10,5,9,9,7,6,9,9,6,5,3,11,8,12,11,8,5,1,5,6,4,7,8,6,8,8,4,5,6,5,5,6,11,7,8,10,6,11,12,11,11,6,6,3,4,5,3,7,9,3,3,6,5,5,4,11,4,4,3,2,4,2,3,6,3,4,0,4,6,3,2,1,1,0,0,1,2
E01008125,Sheffield 009G,749,10,4,9,3,6,12,20,13,9,15,12,11,12,12,5,12,12,13,10,7,8,2,10,7,11,10,7,14,12,4,8,7,6,9,8,9,8,6,5,4,9,6,10,3,10,13,12,15,11,16,9,11,10,9,10,16,8,7,9,10,8,7,9,7,6,10,6,8,11,12,9,8,5,8,8,5,4,7,3,6,2,5,3,1,0,7,3,7,1,2,5
E01007849,Sheffield 010A,"1,104",16,17,20,20,26,19,26,17,21,16,20,28,14,18,13,20,22,20,19,17,14,21,10,16,18,14,15,14,14,9,11,27,12,21,15,17,16,11,16,11,10,14,16,10,8,20,13,19,11,11,16,18,23,13,14,12,10,8,5,6,13,4,7,11,13,7,6,6,3,2,7,6,10,8,6,6,5,4,3,6,8,3,3,0,1,0,2,1,3,1,1
E01007857,Sheffield 010B,786,17,14,13,9,14,14,19,8,18,15,9,5,5,12,10,14,10,13,5,5,14,12,4,11,9,8,15,14,11,8,15,6,14,9,10,10,15,11,16,11,8,6,8,8,8,14,12,12,11,11,10,7,11,4,9,10,11,9,11,12,11,9,6,6,8,8,9,7,5,6,7,5,3,8,7,5,5,5,4,1,4,1,2,2,2,0,0,2,1,2,1
E01008059,Sheffield 010C,719,7,9,9,23,9,18,19,12,10,18,14,13,13,14,13,13,8,7,6,7,8,9,10,9,9,9,12,9,9,9,11,9,8,5,5,11,8,7,9,7,4,7,9,3,11,7,8,9,9,7,15,10,12,12,10,9,8,9,13,8,10,12,7,3,5,7,2,6,8,5,10,6,7,8,0,1,5,4,2,1,2,0,1,2,1,1,1,1,3,2,1
E01008060,Sheffield 010D,699,12,9,17,16,19,15,19,13,15,9,12,8,11,12,8,13,8,7,11,12,5,4,6,6,3,8,9,11,12,11,13,3,14,6,10,7,4,7,5,10,5,7,7,6,10,9,9,6,8,9,15,8,12,15,11,9,7,9,6,7,7,2,6,6,6,5,2,8,4,7,8,5,6,6,6,0,5,6,0,5,2,2,4,2,3,1,3,2,2,1,2
E01008061,Sheffield 011A,774,12,16,19,20,15,15,20,14,7,10,18,14,19,19,15,8,8,6,7,3,4,9,9,8,5,19,9,14,12,18,9,3,7,6,8,9,9,12,10,6,7,9,11,9,7,4,16,10,6,13,6,13,12,10,9,11,15,13,11,14,10,6,8,3,1,7,5,4,5,9,3,1,3,6,6,6,8,2,6,2,4,0,3,1,3,0,0,0,1,0,4
E01008063,Sheffield 011B,699,9,8,8,5,7,8,4,8,17,11,7,6,7,3,7,4,7,10,7,8,10,7,9,9,9,6,11,10,10,8,10,12,8,6,7,5,6,9,10,6,8,7,8,4,7,14,12,13,17,16,10,12,10,14,7,14,4,8,6,11,10,11,10,7,4,7,8,9,5,9,7,10,9,6,6,3,6,5,3,5,7,6,3,5,2,2,4,2,2,1,4
E01033277,Sheffield 011E,"1,334",17,28,18,21,25,29,31,28,30,16,29,27,25,20,13,14,22,14,12,12,8,16,13,13,11,21,30,21,20,21,25,21,29,24,17,19,20,14,16,20,12,15,15,15,18,13,18,18,20,14,15,16,14,14,15,13,15,13,7,22,12,16,9,11,14,5,9,7,11,16,13,11,4,10,6,6,5,8,8,4,3,5,1,2,4,1,5,5,0,0,11
E01008087,Sheffield 012A,681,4,13,4,6,2,11,5,5,7,8,6,7,8,3,4,3,9,6,7,10,2,4,7,15,8,6,8,9,12,11,7,7,4,4,5,6,13,12,11,13,7,7,7,9,2,17,15,6,6,9,15,17,4,14,11,15,10,11,16,16,9,6,12,8,8,6,9,7,9,2,6,6,12,3,6,8,4,5,9,5,7,3,4,8,8,2,0,0,1,0,2
E01008088,Sheffield 012B,657,5,7,6,6,9,9,8,4,8,6,2,7,6,5,10,8,3,4,6,5,7,4,4,10,7,13,6,15,9,4,8,12,17,6,9,5,6,9,11,6,9,13,1,4,8,6,14,13,10,15,6,13,13,10,14,12,10,7,3,14,5,4,11,8,6,9,6,3,10,5,15,4,9,7,3,5,5,4,5,7,9,8,6,3,3,1,3,1,2,0,3
E01008090,Sheffield 012C,762,15,22,13,15,16,15,16,19,14,16,8,6,5,10,5,8,4,10,8,6,4,8,11,10,10,13,12,17,10,14,11,12,6,9,9,8,8,7,8,9,6,7,7,8,18,10,9,16,12,9,12,11,7,8,14,11,8,8,6,9,12,7,8,11,9,6,6,6,10,6,5,3,8,3,7,2,5,3,9,3,4,1,1,0,1,0,2,0,0,0,1
E01008092,Sheffield 012D,706,18,7,10,15,9,9,12,10,8,4,12,9,8,6,6,7,2,7,6,4,6,6,6,4,5,15,9,8,10,14,8,11,5,6,16,9,14,11,7,9,5,8,10,10,10,13,9,20,14,14,16,13,10,9,15,9,11,9,7,7,8,7,5,6,7,6,6,3,5,6,8,8,7,7,3,4,2,1,4,2,2,0,1,5,3,5,6,4,0,2,6
E01008122,Sheffield 012E,715,17,22,7,11,14,14,9,17,13,16,17,6,18,10,8,7,8,10,8,7,14,14,10,9,14,11,9,9,5,9,18,10,11,10,7,9,6,6,10,7,14,10,3,5,10,9,8,6,12,8,4,9,13,5,7,11,10,8,4,12,4,7,6,4,7,4,3,1,5,5,3,2,1,2,4,6,3,4,4,1,8,1,5,5,2,5,3,3,0,1,1
E01008124,Sheffield 012F,718,29,19,23,15,19,13,16,17,13,12,9,8,10,7,7,10,7,8,5,5,9,5,6,7,9,14,21,14,14,17,15,13,9,13,12,12,10,11,7,9,9,14,8,6,9,9,7,7,10,6,9,8,4,4,12,8,7,5,5,4,6,6,6,7,4,4,8,6,3,6,1,5,3,1,2,5,2,1,1,0,2,2,3,1,0,0,0,0,0,0,3
E01007848,Sheffield 013A,901,10,15,13,15,7,22,17,18,17,10,13,12,19,13,24,9,9,12,12,13,12,5,8,15,12,13,13,14,11,13,8,17,15,10,9,9,13,11,13,6,10,10,12,10,5,11,14,21,7,15,13,12,5,8,7,6,15,8,7,10,11,8,9,12,11,9,4,11,7,9,10,13,4,2,7,6,7,4,5,5,4,3,3,5,2,1,4,1,3,2,6
E01007851,Sheffield 013B,694,5,7,10,8,14,7,10,14,15,12,18,20,13,10,16,13,12,12,17,13,15,7,13,14,12,8,11,13,7,9,8,13,9,12,10,8,7,3,7,11,13,12,9,8,8,5,4,8,10,5,7,7,9,6,8,6,5,3,7,4,5,3,11,4,5,8,4,10,4,6,6,6,1,4,2,2,5,2,3,3,1,0,2,2,1,0,0,4,0,1,2
E01007947,Sheffield 013C,825,12,8,10,6,5,13,12,11,8,21,12,8,11,6,8,10,4,8,6,10,7,10,6,8,6,8,6,7,2,5,9,8,9,14,5,6,8,12,7,7,4,8,14,13,8,12,16,22,24,16,20,14,22,7,23,11,9,12,14,18,12,10,12,16,9,8,11,7,6,11,8,7,6,6,3,9,5,4,7,2,3,7,1,4,4,4,4,6,0,1,6
E01007948,Sheffield 013D,802,15,10,16,15,13,15,22,10,17,16,24,19,14,17,18,15,22,17,14,14,15,10,11,6,7,6,7,9,7,10,5,14,14,9,8,10,7,10,6,12,8,8,13,7,7,12,6,6,6,7,14,9,15,14,8,9,6,12,4,4,3,7,11,6,8,5,2,3,8,5,6,6,2,6,3,4,2,3,6,4,2,4,3,1,3,0,2,2,1,0,3
