LSOA.code,LSOA.name,Population.all,People_per_Sq_Km,Population.female,Population.male
E01033278,Sheffield 076E,"2,671","3,311","1,413","1,258"
E01007918,Sheffield 071C,"1,688","3,307",876,812
E01007981,Sheffield 053C,"1,604","3,296",768,836
E01008094,Sheffield 019D,"1,342","3,291",678,664
E01007854,Sheffield 014E,"1,749","3,234",979,770
E01008013,Sheffield 039C,"1,232","3,218",656,576
E01007851,Sheffield 013B,"1,378","3,134",684,694
E01008072,Sheffield 026C,"1,735","3,086",831,904
E01008030,Sheffield 063A,"1,375","3,066",701,674
E01007923,Sheffield 068C,"1,875","3,039",987,888
E01008007,Sheffield 060A,"1,812","3,009",886,926
E01008029,Sheffield 056B,"1,487","2,996",753,734
E01007971,Sheffield 037C,"1,510","2,996",792,718
E01007881,Sheffield 075C,"1,620","2,989",779,841
E01008063,Sheffield 011B,"1,436","2,987",737,699
E01008152,Sheffield 025C,"1,457","2,922",697,760
E01008132,Sheffield 023D,"1,326","2,919",664,662
E01008091,Sheffield 017C,"1,477","2,906",748,729
E01007959,Sheffield 041E,"1,436","2,896",762,674
E01008028,Sheffield 056A,"1,552","2,857",818,734
E01007836,Sheffield 062B,"1,570","2,802",797,773
E01007885,Sheffield 075E,"1,820","2,700",946,874
E01007861,Sheffield 038B,"1,567","2,661",802,765
E01007927,Sheffield 055A,"1,679","2,647",867,812
E01007929,Sheffield 055C,"1,789","2,600",908,881
E01007915,Sheffield 071A,"1,414","2,501",759,655
E01008145,Sheffield 001B,"1,419","2,486",703,716
E01007834,Sheffield 066D,"1,601","2,461",836,765
E01007909,Sheffield 032C,"2,428","2,441","1,218","1,210"
E01007835,Sheffield 062A,"1,453","2,410",760,693
E01007970,Sheffield 049D,"1,610","2,386",764,846
E01007842,Sheffield 076D,"1,524","2,363",786,738
E01007963,Sheffield 045A,"1,447","2,361",707,740
E01008039,Sheffield 065F,"1,186","2,358",621,565
E01008133,Sheffield 023E,"1,542","2,318",811,731
E01007930,Sheffield 055D,"1,423","2,310",746,677
E01008040,Sheffield 061D,"1,680","2,306",873,807
E01007972,Sheffield 044C,"1,390","2,304",726,664
E01008037,Sheffield 065E,"1,334","2,285",726,608
E01008035,Sheffield 063B,"1,135","2,284",548,587
E01008017,Sheffield 039E,"1,616","2,269",800,816
E01007969,Sheffield 044B,"1,498","2,200",736,762
E01008092,Sheffield 012D,"1,457","2,195",751,706
E01007958,Sheffield 041D,"1,409","2,182",744,665
E01033279,Sheffield 076F,"2,221","2,171","1,171","1,050"
