LSOA.code,LSOA.name,Population.all,People_per_Sq_Km
E01008006,Sheffield 054D,"1,452","5,600"
E01007927,Sheffield 055A,"1,637","2,581"
E01007928,Sheffield 055B,"1,757","3,330"
E01007929,Sheffield 055C,"1,784","2,593"
E01007930,Sheffield 055D,"1,427","2,317"
E01007932,Sheffield 055E,"1,401","1,416"
E01007939,Sheffield 055F,"1,581",514
E01008028,Sheffield 056A,"1,571","2,892"
E01008029,Sheffield 056B,"1,516","3,055"
E01008032,Sheffield 056C,"1,337","4,451"
E01008034,Sheffield 056D,"1,704","2,093"
E01007828,Sheffield 059A,"1,775","6,301"
E01007829,Sheffield 059B,"1,482","3,364"
E01007831,Sheffield 059C,"1,464","4,781"
E01007832,Sheffield 059D,"1,517","7,447"
E01007986,Sheffield 059E,"1,348","8,029"
E01008007,Sheffield 060A,"1,785","2,965"
E01008075,Sheffield 060B,"1,498","3,819"
E01008076,Sheffield 060C,"1,371","6,767"
E01008077,Sheffield 060D,"1,558","6,999"
E01008031,Sheffield 061A,"1,379","5,026"
E01008033,Sheffield 061B,"1,233","1,934"
E01008038,Sheffield 061C,"1,440","4,274"
E01008040,Sheffield 061D,"1,674","2,298"
E01007835,Sheffield 062A,"1,473","2,443"
E01007836,Sheffield 062B,"1,588","2,834"
E01007843,Sheffield 062C,"1,607","4,332"
E01007846,Sheffield 062D,"1,475","6,082"
E01008030,Sheffield 063A,"1,415","3,155"
E01008035,Sheffield 063B,"1,130","2,274"
E01008036,Sheffield 063C,"1,390","7,761"
E01008041,Sheffield 063D,"1,396","1,197"
E01007827,Sheffield 064A,"1,489",963
E01007830,Sheffield 064B,"1,493","5,206"
E01007833,Sheffield 064C,"1,556","1,331"
E01007984,Sheffield 064D,"1,462","4,635"
E01008078,Sheffield 064E,"1,355","1,567"
E01008079,Sheffield 064F,"1,287","1,882"
E01008019,Sheffield 065A,"1,834","1,735"
E01008020,Sheffield 065B,"1,379","6,668"
E01008022,Sheffield 065C,"1,469","7,572"
E01008027,Sheffield 065D,"1,581","5,014"
E01008037,Sheffield 065E,"1,340","2,296"
E01008039,Sheffield 065F,"1,256","2,498"
E01007824,Sheffield 066A,"1,335","3,864"
E01007825,Sheffield 066B,"1,514","1,199"
E01007826,Sheffield 066C,"1,413","1,347"
E01007834,Sheffield 066D,"1,614","2,481"
E01007920,Sheffield 068A,"1,620","1,924"
E01007921,Sheffield 068B,"1,590","2,114"
E01007923,Sheffield 068C,"1,844","2,989"
E01007925,Sheffield 068D,"1,722","1,326"
E01007926,Sheffield 068E,"1,661",187
E01007933,Sheffield 068F,"1,604",871
E01007823,Sheffield 069A,"1,722","4,101"
E01007916,Sheffield 069B,"1,609","5,255"
E01007919,Sheffield 069C,"1,664","7,399"
E01008080,Sheffield 069D,"1,506","5,074"
E01008081,Sheffield 070A,"1,535","3,892"
E01008082,Sheffield 070B,"1,518","3,419"
E01008083,Sheffield 070C,"1,613","6,923"
E01008084,Sheffield 070D,"1,715","6,284"
E01007915,Sheffield 071A,"1,438","2,544"
E01007917,Sheffield 071B,"1,544","1,872"
E01007918,Sheffield 071C,"1,711","3,352"
