LSOA.code,LSOA.name,Population.all,Littles,Teens,Twenties,Thirties,Fourties,Fifties,Sixties,Seventies,Eighties,Nineties
E01008161,Sheffield 026E,"1,708",196,149,274,320,259,191,149,113,46,11
E01007883,Sheffield 027A,"1,425",268,286,203,216,172,109,80,65,22,4
E01007902,Sheffield 027B,"1,757",297,175,231,286,200,145,189,153,71,10
E01007905,Sheffield 027C,"1,956",467,329,347,435,199,76,53,38,10,2
E01007906,Sheffield 027D,"2,375",536,398,373,375,272,162,120,98,38,3
E01008064,Sheffield 028A,"1,662",85,130,889,221,99,97,79,35,23,4
E01008066,Sheffield 028B,"1,639",40,69,1184,103,54,52,53,45,25,14
E01008069,Sheffield 028C,"1,654",79,86,1035,151,78,79,68,48,22,8
E01008074,Sheffield 028D,"1,481",108,83,677,209,111,113,108,41,26,5
E01007951,Sheffield 029A,"1,652",164,166,358,224,185,178,129,118,97,33
E01007960,Sheffield 029B,"1,649",138,148,516,236,189,120,133,114,49,6
E01007962,Sheffield 029C,"1,429",92,75,606,188,130,90,80,84,58,26
E01008159,Sheffield 029D,"1,530",181,83,333,342,181,122,125,112,43,8
E01007866,Sheffield 030A,"1,707",121,96,935,162,146,90,91,38,20,8
E01007867,Sheffield 030B,"1,937",51,133,1350,125,107,36,64,40,16,15
E01007868,Sheffield 030C,"1,006",86,74,179,132,114,117,114,69,81,40
E01008067,Sheffield 030D,"1,648",34,89,1238,108,39,41,36,18,34,11
E01008073,Sheffield 030E,"1,720",102,150,712,219,168,154,120,60,29,6
E01007907,Sheffield 032A,"1,689",257,264,266,236,237,173,118,93,40,5
E01007908,Sheffield 032B,"1,481",190,127,209,266,224,188,132,101,37,7
E01007909,Sheffield 032C,"2,210",321,239,369,335,349,235,165,124,65,8
E01007911,Sheffield 032D,"1,365",134,155,111,138,218,196,215,138,53,7
E01008014,Sheffield 032E,"1,623",223,174,204,227,209,144,186,146,80,30
E01008016,Sheffield 032F,"1,584",226,212,219,199,241,168,146,99,55,19
E01007952,Sheffield 033A,"1,599",192,200,101,157,250,245,205,140,92,17
E01007953,Sheffield 033B,"1,501",80,115,83,114,207,202,255,241,171,33
E01007954,Sheffield 033C,"1,606",207,234,88,167,257,260,222,117,43,11
E01007961,Sheffield 033D,"1,516",215,169,123,192,232,223,141,129,72,20
E01007859,Sheffield 036A,"1,552",45,384,681,126,76,86,84,49,18,3
E01007860,Sheffield 036B,"1,650",106,126,785,173,134,122,93,42,52,17
E01007863,Sheffield 036C,"1,904",145,374,586,178,191,169,141,68,40,12
E01007864,Sheffield 036D,"2,324",25,90,1946,87,48,39,43,27,14,5
E01008104,Sheffield 036E,"1,840",189,281,699,193,149,116,95,62,46,10
E01007910,Sheffield 037A,"1,585",190,179,169,179,236,209,159,139,84,41
E01007912,Sheffield 037B,"1,502",126,149,146,121,231,242,228,155,89,15
E01007971,Sheffield 037C,"1,463",202,202,142,154,214,180,148,113,91,17
E01007973,Sheffield 037D,"1,502",153,188,132,159,259,163,194,151,84,19
E01007858,Sheffield 038A,"1,462",144,157,165,211,273,187,140,74,66,45
E01007861,Sheffield 038B,"1,553",157,186,127,136,260,262,226,113,69,17
E01007862,Sheffield 038C,"4,598",106,2240,1579,164,125,139,119,71,38,17
E01007865,Sheffield 038D,"1,714",219,203,162,236,296,204,203,118,58,15
E01008011,Sheffield 039A,"1,636",314,234,245,209,224,171,137,62,36,4
E01008012,Sheffield 039B,"2,242",453,264,399,380,252,196,150,107,33,8
E01008013,Sheffield 039C,"1,186",187,148,147,188,187,132,105,56,27,9
E01008015,Sheffield 039D,"1,616",222,192,206,209,256,203,150,109,51,18
E01008017,Sheffield 039E,"1,592",219,185,213,180,224,189,184,137,44,17
E01008018,Sheffield 039F,"1,321",217,165,181,164,183,159,121,80,43,8
E01008105,Sheffield 040A,"4,173",182,1081,2131,311,206,140,55,53,12,2
E01008107,Sheffield 040C,"1,591",173,165,547,216,205,109,70,64,30,12
E01008111,Sheffield 040D,"1,568",71,140,777,166,131,102,87,47,30,17
E01033271,Sheffield 040E,"1,507",236,94,437,321,191,92,48,50,31,7
E01033272,Sheffield 040F,"1,253",87,79,523,285,95,74,42,42,18,8
E01007955,Sheffield 041A,"1,361",142,173,75,85,215,223,218,146,71,13
E01007956,Sheffield 041B,"2,162",223,279,135,186,354,322,279,219,144,21
E01007957,Sheffield 041C,"1,636",224,205,98,191,241,227,222,138,75,15
E01007958,Sheffield 041D,"1,448",148,176,80,124,193,212,247,151,94,23
E01007959,Sheffield 041E,"1,486",195,177,77,131,222,255,226,116,72,15
E01008108,Sheffield 042A,"2,010",210,312,829,292,160,100,41,35,29,2
E01008109,Sheffield 042B,"2,026",208,322,665,268,177,118,102,114,47,5
E01008112,Sheffield 042D,"1,672",304,171,447,348,150,102,72,47,28,3
E01008113,Sheffield 042E,"1,834",252,201,455,367,215,126,106,73,36,3
E01033273,Sheffield 042F,"2,818",104,731,1539,172,97,79,44,28,16,8
E01033274,Sheffield 042G,"1,858",45,507,1057,164,39,22,14,4,4,2
E01008095,Sheffield 043A,"1,849",178,154,776,240,157,118,107,70,43,6
E01008096,Sheffield 043B,"2,152",302,303,370,311,269,234,169,128,61,5
E01008097,Sheffield 043C,"1,616",242,204,246,212,190,154,170,128,49,21
E01008101,Sheffield 043D,"1,794",221,161,299,329,244,195,162,140,38,5
E01007965,Sheffield 044A,"1,872",229,244,209,169,266,174,174,220,154,33
E01007969,Sheffield 044B,"1,528",132,138,187,181,206,231,197,156,73,27
E01007972,Sheffield 044C,"1,445",148,165,138,141,234,209,150,197,56,7
E01007974,Sheffield 044D,"1,447",151,198,191,128,288,252,119,90,26,4
E01007963,Sheffield 045A,"1,416",130,138,138,148,256,209,191,130,56,20
E01007967,Sheffield 045B,"1,752",235,214,224,198,272,191,191,115,86,26
E01007999,Sheffield 045C,"1,352",108,148,154,113,202,268,223,96,33,7
E01008008,Sheffield 045D,"1,625",203,164,239,180,220,173,179,138,103,26
E01008009,Sheffield 045E,"1,592",309,267,259,199,203,159,95,58,41,2
E01008043,Sheffield 046A,"1,618",213,194,139,188,263,227,210,106,70,8
E01008044,Sheffield 046B,"1,608",225,230,97,191,253,179,158,152,95,28
E01008047,Sheffield 046C,"1,556",94,63,824,199,121,119,70,50,12,4
E01008048,Sheffield 046D,"1,502",86,120,658,215,156,83,96,61,20,7
E01008050,Sheffield 046E,"1,475",132,88,602,261,158,112,79,25,14,4
E01007931,Sheffield 047A,"1,594",203,190,91,124,242,262,224,140,95,23
E01007934,Sheffield 047B,"1,489",233,181,105,185,269,204,171,89,46,6
E01007935,Sheffield 047C,"1,461",203,136,389,270,193,131,88,34,13,4
E01007936,Sheffield 047D,"1,625",232,162,338,331,257,156,86,40,18,5
E01007937,Sheffield 047E,"1,395",197,157,115,187,239,191,164,84,49,12
E01007938,Sheffield 047F,"1,488",245,161,92,195,241,197,176,127,46,8
E01008098,Sheffield 048A,"1,513",265,222,205,207,206,162,117,83,38,8
E01008100,Sheffield 048B,"1,278",192,163,214,125,216,145,105,80,27,11
E01008102,Sheffield 048C,"1,094",143,144,138,130,144,130,109,80,66,10
